runs_left,balls_left,wickets_left,total_runs_x,cur_run_rate,req_run_rate,result
120,60,9,208,8.8,12.0,1
119,59,9,208,8.754098360655737,12.101694915254235,1
115,58,9,208,9.0,11.89655172413793,1
115,57,8,208,8.857142857142858,12.105263157894736,1
114,56,8,208,8.8125,12.214285714285714,1
112,55,8,208,8.861538461538462,12.21818181818182,1
110,54,8,208,8.909090909090908,12.22222222222222,1
109,53,8,208,8.865671641791044,12.339622641509434,1
109,52,8,208,8.735294117647058,12.576923076923077,1
108,51,8,208,8.695652173913043,12.705882352941176,1
107,50,8,208,8.657142857142857,12.84,1
103,49,8,208,8.873239436619718,12.612244897959185,1
102,48,8,208,8.833333333333334,12.75,1
98,47,8,208,9.04109589041096,12.51063829787234,1
92,46,8,208,9.405405405405403,12.0,1
88,45,8,208,9.6,11.733333333333333,1
88,44,8,208,9.473684210526317,12.0,1
87,43,8,208,9.428571428571429,12.13953488372093,1
85,42,8,208,9.461538461538462,12.142857142857142,1
84,41,8,208,9.417721518987342,12.292682926829269,1
80,41,8,208,9.721518987341772,11.707317073170731,1
79,40,8,208,9.675,11.85,1
78,39,8,208,9.62962962962963,12.0,1
77,38,8,208,9.585365853658535,12.157894736842104,1
77,37,8,208,9.46987951807229,12.486486486486486,1
76,36,8,208,9.428571428571429,12.666666666666666,1
72,35,8,208,9.6,12.342857142857143,1
71,34,8,208,9.55813953488372,12.529411764705882,1
65,33,8,208,9.862068965517242,11.818181818181818,1
64,32,8,208,9.818181818181818,12.0,1
58,31,8,208,10.112359550561798,11.225806451612904,1
57,30,8,208,10.066666666666666,11.4,1
57,29,8,208,9.956043956043956,11.79310344827586,1
57,28,7,208,9.847826086956522,12.214285714285714,1
56,27,7,208,9.806451612903226,12.444444444444445,1
55,26,7,208,9.76595744680851,12.692307692307692,1
54,25,7,208,9.726315789473684,12.96,1
53,24,7,208,9.6875,13.25,1
52,23,7,208,9.649484536082474,13.565217391304348,1
52,22,7,208,9.551020408163266,14.181818181818182,1
48,21,7,208,9.696969696969695,13.714285714285714,1
47,20,7,208,9.66,14.1,1
47,19,7,208,9.564356435643564,14.842105263157896,1
46,18,7,208,9.529411764705882,15.333333333333334,1
40,17,7,208,9.78640776699029,14.117647058823527,1
39,16,7,208,9.75,14.625,1
38,15,7,208,9.714285714285714,15.2,1
37,14,7,208,9.679245283018869,15.857142857142858,1
33,13,7,208,9.813084112149532,15.23076923076923,1
32,12,7,208,9.77777777777778,16.0,1
30,11,7,208,9.79816513761468,16.363636363636363,1
29,10,7,208,9.763636363636364,17.4,1
28,11,7,208,9.908256880733944,15.272727272727272,1
24,10,7,208,10.036363636363635,14.4,1
18,9,7,208,10.27027027027027,12.0,1
18,8,6,208,10.178571428571429,13.5,1
17,7,6,208,10.141592920353984,14.571428571428571,1
17,6,6,208,10.052631578947368,17.0,1
16,5,6,208,10.017391304347829,19.2,1
15,4,6,208,9.982758620689657,22.5,1
9,3,6,208,10.205128205128204,18.0,1
7,2,6,208,10.220338983050848,21.0,1
7,1,6,208,10.134453781512605,42.0,1
0,119,6,208,1248.0,0.0,0
0,118,6,208,624.0,0.0,0
0,117,6,208,416.0,0.0,0
184,119,10,185,6.0,9.277310924369749,0
184,118,10,185,3.0,9.35593220338983,0
183,117,10,185,4.0,9.384615384615383,0
178,116,10,185,10.5,9.20689655172414,0
